"name","name-2","name-3","sale_price"
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk SDCZ73 32GB G46",78000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk SDCZ73 64GB",113000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk SDDD3 16GB",71000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk SDDD3 32GB",90000
"Флеш накопители","Iconix","USB флеш накопитель Iconix FLASH 2GB SE-11",36000
"Флеш накопители","Pny","USB флеш накопитель Pny FD16GATT4 EF",40000
"Флеш накопители","Pny","USB флеш накопитель Pny FD32GATT4 EF",75000
"Флеш накопители","Iconix","USB флеш накопитель Iconix USB FLASH 4GB SE-11",60000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk Ultra Fit CZ430 16G",50000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk Ultra Fit CZ430 32G",54000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk Ultra Fit CZ430 64G",112000
"Флеш накопители","Toshiba","USB флеш накопитель Toshiba 32G",41000
"Флеш накопители","Apacer","USB флеш накопитель Apacer 16GB AH356 Black",54000
"Флеш накопители","Apacer","USB флеш накопитель Apacer AH155 64GB",145000
"Флеш накопители","Apacer","USB флеш накопитель Apacer AH25B 128GB",236000
"Флеш накопители","Apacer","USB флеш накопитель Apacer AH326 16GB",47000
"Флеш накопители","Apacer","USB флеш накопитель Apacer AH326 32GB",60000
"Флеш накопители","Apacer","USB флеш накопитель Apacer AH326 64GB",96000
"Флеш накопители","Apacer","USB флеш накопитель Apacer AH333 16GB Black",47000
"Флеш накопители","Apacer","USB флеш накопитель Apacer AH333 32GB Black",60000
"Флеш накопители","Apacer","USB флеш накопитель Apacer AH333 16GB",47000
"Флеш накопители","Apacer","USB флеш накопитель Apacer AH333 32GB",60000
"Флеш накопители","Apacer","USB флеш накопитель Apacer AH333 64GB",96000
"Флеш накопители","Apacer","USB флеш накопитель Apacer AH350 16GB",54000
"Флеш накопители","Apacer","USB флеш накопитель Apacer AH350 32GB",93000
"Флеш накопители","Apacer","USB флеш накопитель Apacer AH350 64GB",139000
"Флеш накопители","Apacer","USB флеш накопитель Apacer AH356 32GB Black",80000
"Флеш накопители","Apacer","USB флеш накопитель Apacer AH356 64GB Black",119000
"Флеш накопители","Apacer","USB флеш накопитель Apacer AH35A 32GB Silver Gen1",72000
"Флеш накопители","Apacer","USB флеш накопитель Apacer AH35A 64GB Silver Gen1",132000
"Флеш накопители","Apacer","USB флеш накопитель Apacer AH360 16Gb",72000
"Флеш накопители","Kingston","USB флеш накопитель Kingston DT100G3/128GB",313000
"Флеш накопители","Kingston","USB флеш накопитель Kingston DT100G3/32GB",95000
"Флеш накопители","Kingston","USB флеш накопитель Kingston DT100G3/64GB",170000
"Флеш накопители","Kingston","USB флеш накопитель Kingston DT106/32GB",66000
"Флеш накопители","Kingston","USB флеш накопитель Kingston DT106/64GB",120000
"Флеш накопители","Kingston","USB флеш накопитель Kingston DT106/128GB",236000
"Флеш накопители","Kingston","USB флеш накопитель Kingston DT106/256GB",610000
"Флеш накопители","Kingston","USB флеш накопитель Kingston DT50/128GB",346000
"Флеш накопители","Kingston","USB флеш накопитель Kingston DTDUO3/16GB",84000
"Флеш накопители","Kingston","USB флеш накопитель Kingston DTDUO3/32GB",115000
"Флеш накопители","Kingston","USB флеш накопитель Kingston DTSWIVL16GB",47000
"Флеш накопители","Kingston","USB флеш накопитель Kingston DTSWIVL32GB",66000
"Флеш накопители","Lexar","USB флеш накопитель Lexar 16GBUSB2.0",66000
"Флеш накопители","Lexar","USB флеш накопитель Lexar 32GBUSB2.0",66000
"Флеш накопители","Lexar","USB флеш накопитель Lexar 64GBUSB2.0",139000
"Флеш накопители","Strontium","USB флеш накопитель Strontium SR64GRDNANOZ",119000
"Флеш накопители","Toshiba","USB флеш накопитель Toshiba 128GB U202",178000
"Флеш накопители","Toshiba","USB флеш накопитель Toshiba 16GB U202",36000
"Флеш накопители","Faster","USB флеш накопитель Faster 64GB FU11",169000
"Флеш накопители","Sandisk","USB флеш накопитель SANDISK Cruzer Fit 32GB",66000
"Флеш накопители","Sandisk","USB флеш накопитель SANDISK Cruzer Force 16GB",46000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk SDDDC2-16G",92000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk SDDDC2-32G",115000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk SDDDC2-64G",179000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk SDCZ430-128G",198000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk SDCZ73 128GB",210000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk SDDD3 128GB",284000
"Флеш накопители","Tranyoo","USB флеш накопитель Tranyoo 16GB U1",60000
"Флеш накопители","Tranyoo","USB флеш накопитель Tranyoo 32GB U1",66000
"Флеш накопители","Tranyoo","USB флеш накопитель Tranyoo 4GB U1",35000
"Флеш накопители","Tranyoo","USB флеш накопитель Tranyoo 8GB U1",32000
"Флеш накопители","Tranyoo","USB флеш накопитель Tranyoo 16GB U2",60000
"Флеш накопители","Tranyoo","USB флеш накопитель Tranyoo 32GB U2",66000
"Флеш накопители","Tranyoo","USB флеш накопитель Tranyoo 4GB U2",47000
"Флеш накопители","Tranyoo","USB флеш накопитель Tranyoo 8GB U2",54000
"Флеш накопители","Tranyoo","USB флеш накопитель Tranyoo 16GB U4",36000
"Флеш накопители","Tranyoo","USB флеш накопитель Tranyoo 4GB U4",47000
